,GPSpoint,Plot_no,Rep,Silt_A,Silt_B,Silt_C,Silt_D,Sand_A,Sand_B,Sand_C,Sand_D,Clay_A,Clay_B,Clay_C,Clay_D,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Sodium ppm Na,NO3ppm_0_12,NO3ppm_12_24,NO3ppm_24_36,NO3ppm_36_48,NO3ppm_48_60,NO3ppm_60_72,NO3_0_24,NO3_0_36,NO3_0_48,NO3_0_60,NO3_0_72,NO3_36_48,NO3_48_60,NO3_60_72,NO3_36_72,NO3_60_72.1,NO3_36_72.1,NH4_0_24,NH4_0_36,NH4_0_48,NH4_36_48,NH4_48_60,NH4_60_72,NH4_36_72,Nov_NO3ppm_0_12,Nov_NO3ppm_12_24,Nov_NO3ppm_24_36,Nov_NO3ppm_36_48,Nov_NO3ppm_48_60,Nov_NO3ppm_60_72,Nov_NO3_0_24,Nov_NO3_0_36,Nov_NO3_0_48,Nov_NO3_0_60,Nov_NO3_0_72,Nov_NO3_36_48,Nov_NO3_48_60,Nov_NO3_60_72,Nov_NO3_36_72
0,1.0,1.0,1.0,22.72,22.72,22.72,20.72,53.12,47.12,59.12,59.12,24.160000000000004,30.160000000000004,18.160000000000004,20.160000000000004,257.0,138.0,0.4,5.3,5.7,747.0,0.45655302466378844,0.07510138687227756,0.06547469151347268,0.23130688389400111,0.9572240502542628,1.4410238323172266,2.126617646144264,2.388516412198155,3.3137439477741593,7.142640148791211,12.906735478060117,0.9252275355760045,3.8288962010170513,5.7640953292689066,10.518219065861963,36.28575973560318,64.7806223070122,25.22817402324923,35.68067868954596,43.47157585374012,71.96643842514914,7.790897164194167,14.821536600120991,13.673325971288024,5.24,3.8850000000000002,9.83,1.715,1.6900000000000002,0.41000000000000003,36.5,75.82,82.67999999999999,89.44,91.08,6.86,6.760000000000001,1.6400000000000001,15.260000000000002
1,2.0,1.0,1.0,18.72,18.72,16.72,14.719999999999999,53.12,49.12,49.12,59.12,28.16,32.160000000000004,34.160000000000004,26.160000000000004,358.0,129.0,0.47,9.3,6.2,698.0,0.5598426388258435,0.19671138908503988,0.08401700108727884,0.14001400140014003,0.37656273535170953,1.2144534959268327,3.0262161116435333,3.3622841159926486,3.9223401215932086,5.428591063000047,10.286405046707378,0.5600560056005601,1.5062509414068381,4.857813983707331,6.924120930714729,27.85826564185792,48.69084108031403,19.79651462343854,28.667643494567415,35.69333369796922,56.525909136425334,7.025690203401806,11.299208654713011,9.5333667837431,1.1700000000000002,5.91,3.205,0.35000000000000003,0.9450000000000001,0.235,28.32,41.14,42.54,46.32,47.26,1.4000000000000001,3.7800000000000002,0.94,6.120000000000001
2,3.0,1.0,1.0,26.72,22.72,24.72,16.72,53.12,45.12,55.120000000000005,55.120000000000005,20.160000000000004,32.160000000000004,20.160000000000004,28.16,508.0,158.0,0.74,8.6,10.2,708.0,1.1762380152219036,0.0852899859522376,0.11068625477963372,0.9619743137748679,0.9823182711198428,1.1556046827111492,5.046112004696565,5.4888570238150995,9.33675427891457,13.266027363393942,17.88844609423854,3.8478972550994714,3.9292730844793713,4.622418730844597,12.39958907042344,28.55944158138523,50.05495460936211,25.00256897069118,32.043708211197504,39.10763676460585,60.603149792582734,7.063928553408345,10.597207091215212,10.898305936761675,5.25,6.444999999999999,4.905,1.025,0.76,0.185,46.78,66.4,70.5,73.54,74.28,4.1,3.04,0.74,7.88
3,4.0,1.0,1.0,24.72,24.72,24.72,16.72,53.12,45.12,55.120000000000005,55.120000000000005,22.160000000000004,30.160000000000004,20.160000000000004,28.16,445.0,234.0,1.01,8.2,8.1,923.0,0.6473931307141092,0.09076698098936009,0.0,0.41489627593101724,0.9049323786793952,0.7572315614114796,2.952640446813877,2.952640446813877,4.612225550537946,8.231955065255526,11.260881310901445,1.659585103724069,3.619729514717581,3.0289262456459185,8.30824086408757,28.65393289265878,49.90380257989995,22.188825373501714,30.390749903704744,37.79481310912235,59.044682796363524,7.404063205417606,10.832072617246595,10.417797069994576,5.2700000000000005,3.215,2.64,0.35000000000000003,1.34,0.5650000000000001,33.94,44.5,45.9,51.26,53.519999999999996,1.4000000000000001,5.36,2.2600000000000002,9.020000000000001
4,5.0,2.0,1.0,20.72,16.72,27.439999999999998,13.439999999999998,51.12,49.12,46.4,60.4,28.16,34.160000000000004,26.160000000000004,26.160000000000004,302.0,44.0,0.67,9.0,6.1,369.0,0.5396306747858806,0.03957261574990107,0.0,0.06538577607886531,0.37481259370314846,0.5287807825955583,2.3168131621431267,2.3168131621431267,2.578356266458588,4.077606641271181,6.192729771653415,0.26154310431546124,1.4992503748125938,2.115123130382233,3.875916609510288,28.582417832180347,49.006479362681915,20.843398372716152,28.845398872841184,37.00375517451996,57.42781670502153,8.158356301678777,11.019894233190634,9.404167297310932,1.315,0.525,0.155,0.0,0.27,0.04,7.359999999999999,7.9799999999999995,7.9799999999999995,9.059999999999999,9.219999999999999,0.0,1.08,0.16,1.24
5,6.0,2.0,1.0,26.72,20.72,22.72,16.72,55.120000000000005,51.12,57.11999999999999,57.11999999999999,18.160000000000004,28.16,20.160000000000004,26.160000000000004,363.0,57.0,0.67,11.5,7.1,364.0,0.46543870073281834,0.01008318628686665,0.0,0.12034901213519207,0.549589068723844,0.5187610173759758,1.90208754807874,1.90208754807874,2.3834835966195085,4.581839871514885,6.656883941018788,0.4813960485407683,2.198356274895376,2.075044069503903,4.754796392940047,28.992005628205398,50.21702096514866,19.20648060008193,25.529476975434328,33.29646726669646,54.521482603639726,7.766990291262135,9.533824044865053,11.691191292078209,1.565,0.045,0.0,0.11499999999999999,0.5650000000000001,0.03,6.4399999999999995,6.4399999999999995,6.8999999999999995,9.16,9.28,0.45999999999999996,2.2600000000000002,0.12,2.8400000000000003
6,7.0,2.0,1.0,26.72,24.72,24.0,16.0,53.12,47.12,57.83999999999999,63.839999999999996,20.160000000000004,28.16,18.160000000000004,20.160000000000004,272.0,32.0,0.5,10.9,5.5,322.0,0.1393520131389041,0.0,0.0,0.019773592367393348,0.21619990949771228,0.3318638862747041,0.5574080525556164,0.5574080525556164,0.6365024220251898,1.501302060016039,2.8287576051148555,0.07909436946957339,0.8647996379908491,1.3274555450988164,2.271349552559239,30.99876610714449,54.90469054384417,20.15866157879782,27.952173680836587,35.0450153512814,58.95093978798108,7.092841670444813,10.801586106510063,13.104338330189615,1.7449999999999999,0.035,0.04,0.0,1.03,1.115,7.119999999999999,7.279999999999999,7.279999999999999,11.399999999999999,15.86,0.0,4.12,4.46,8.58
7,8.0,2.0,1.0,28.72,18.72,12.719999999999999,-1.2800000000000011,41.12,41.12,55.120000000000005,67.12,30.160000000000004,40.160000000000004,32.160000000000004,34.160000000000004,141.0,111.0,0.09,9.0,1.8,589.0,0.4292702405909953,0.1056710109193378,0.050370221125270745,0.30658161499282993,0.46196334421290486,0.41262013787550944,2.1397650060413325,2.3412458905424156,3.5675723505137356,5.4154257273653545,7.065906278867392,1.2263264599713197,1.8478533768516194,1.6504805515020378,4.724660388324977,29.294099515334345,50.38100768040467,18.280066387869343,26.03590845072188,34.2430998009859,55.33000796605623,8.207191350264019,10.5279019538902,10.559006211180126,1.4549999999999998,0.05499999999999999,0.0,0.315,1.62,0.0,6.039999999999999,6.039999999999999,7.299999999999999,13.78,13.78,1.26,6.48,0.0,7.74
8,9.0,3.0,1.0,24.72,22.72,24.72,12.719999999999999,53.12,47.12,57.11999999999999,67.12,22.160000000000004,30.160000000000004,18.160000000000004,20.160000000000004,354.0,161.0,0.41,9.4,6.6,722.0,0.5525416917821981,0.1853243175557225,0.0,0.0,0.11984880612150826,0.1659041777688402,2.9514640373516827,2.9514640373516827,2.9514640373516827,3.430859261837716,4.094475972913076,0.0,0.47939522448603306,0.6636167110753608,1.143011935561394,23.118197520689836,40.022646113150486,18.493642095660825,24.84923340700435,31.06298233523353,47.96743092769418,6.213748928229182,8.154699445360514,8.74974914710014,2.41,0.17,0.015,0.125,0.865,0.0,10.32,10.38,10.88,14.34,14.34,0.5,3.46,0.0,3.96
9,10.0,3.0,1.0,24.72,22.72,22.72,20.72,55.120000000000005,51.12,53.12,49.12,20.160000000000004,26.160000000000004,24.160000000000004,30.160000000000004,340.0,83.0,0.69,9.5,6.1,518.0,0.38321903993545786,0.35813768404297647,0.3375694996028594,0.004999500049995001,0.253617783082202,0.5374203821656052,2.9654268959137373,4.315704894325175,4.335702894525155,5.350174026853963,7.499855555516383,0.019998000199980003,1.014471132328808,2.1496815286624207,3.1841506611912087,27.743820058398832,48.92499900496183,18.158432513376162,24.48748265195011,31.050123763785944,52.23130271034894,6.562641111835833,11.424590734935562,9.756588211627438,3.01,0.416,0.0,0.085,0.8350000000000001,0.195,13.703999999999999,13.703999999999999,14.043999999999999,17.384,18.164,0.34,3.3400000000000003,0.78,4.46
